prod,Gross
17432.00,71297219.00
2197.00,84116356.00
2008.00,143010207.00
1691.00,197007650.00
1349.00,17550963.00
2144.00,8452021.00
754.00,89699535.00
2113.00,2104767.00
704.00,7577158.00
597.00,7640510.00
1107.00,9767647.00
792.00,54934210.00
1394.00,223846343.00
611.00,10512289.00
400.00,121498751.00
2720.00,73244.00
48.00,247507.00
432.00,116944343.00
137.00,14948070.00
189.00,61181560.00
714.00,17841.00
13755.00,13755.00
146.00,136774.00
290.00,230492.00
397.00,140117.00
572.00,9138.00
334.00,238587.00
661.00,267353.00
539.00,62988.00
411.00,31412.00
401.00,102651.00
171.00,27613.00
163.00,442309.00
465.00,14135.00